TxHash,To,From,TokenAmount,UsdAmount
0x6b94b64910daf364d629d773e536dfeea18381cc577dca7b2696257f6344bc42,0x7224d1965f85572750a7bfb6845759de52a8b76a,0xb6c057591e073249f2d9d88ba59a46cfc9b59edb,"405,408.965098498206364522 ","na"
0x6b94b64910daf364d629d773e536dfeea18381cc577dca7b2696257f6344bc42,0x79a8c46dea5ada233abaffd40f3a0a2b1e5a4f27,0xb6c057591e073249f2d9d88ba59a46cfc9b59edb,"0 ","na"
0x6b94b64910daf364d629d773e536dfeea18381cc577dca7b2696257f6344bc42,0x79a8c46dea5ada233abaffd40f3a0a2b1e5a4f27,0xb6c057591e073249f2d9d88ba59a46cfc9b59edb,"423,843.576733 ","na"
0x6b94b64910daf364d629d773e536dfeea18381cc577dca7b2696257f6344bc42,0x79a8c46dea5ada233abaffd40f3a0a2b1e5a4f27,0xb6c057591e073249f2d9d88ba59a46cfc9b59edb,"0 ","na"
0x6b94b64910daf364d629d773e536dfeea18381cc577dca7b2696257f6344bc42,0x79a8c46dea5ada233abaffd40f3a0a2b1e5a4f27,0xb6c057591e073249f2d9d88ba59a46cfc9b59edb,"0 ","na"
0x6b94b64910daf364d629d773e536dfeea18381cc577dca7b2696257f6344bc42,0xb6c057591e073249f2d9d88ba59a46cfc9b59edb,0x0000000000000000000000000000000000000000,"405,389.908995116265235895 ","na"
0x6b94b64910daf364d629d773e536dfeea18381cc577dca7b2696257f6344bc42,0xb6c057591e073249f2d9d88ba59a46cfc9b59edb,0x0000000000000000000000000000000000000000,"423,843.576733 ","na"
0x6b94b64910daf364d629d773e536dfeea18381cc577dca7b2696257f6344bc42,0x26ea744e5b887e5205727f55dfbe8685e3b21951,0xb6c057591e073249f2d9d88ba59a46cfc9b59edb,"451,697.199516","$451837.30"
0x6b94b64910daf364d629d773e536dfeea18381cc577dca7b2696257f6344bc42,0xb6c057591e073249f2d9d88ba59a46cfc9b59edb,0x7224d1965f85572750a7bfb6845759de52a8b76a,"451,697.199516","$451837.30"
0xadf9d23245de3b0a28b6cfb58391d6bdb4a94c1d9fd2454da57dad156cfc87b4,0x7224d1965f85572750a7bfb6845759de52a8b76a,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,"0.00249603661784669 ","na"
0xadf9d23245de3b0a28b6cfb58391d6bdb4a94c1d9fd2454da57dad156cfc87b4,0x0000000000000000000000000000000000000000,0xe11fc0b43ab98eb91e9836129d1ee7c3bc95df50,"0.000013087023213221 ","na"
0xadf9d23245de3b0a28b6cfb58391d6bdb4a94c1d9fd2454da57dad156cfc87b4,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,0x0000000000000000000000000000000000000000,"0.00249603661784669 ","na"
0xadf9d23245de3b0a28b6cfb58391d6bdb4a94c1d9fd2454da57dad156cfc87b4,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f,"174,574.219625","$174628.37"
0xadf9d23245de3b0a28b6cfb58391d6bdb4a94c1d9fd2454da57dad156cfc87b4,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f,"68.134099601642541728","$178662.49"
0xadf9d23245de3b0a28b6cfb58391d6bdb4a94c1d9fd2454da57dad156cfc87b4,0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f,0x7224d1965f85572750a7bfb6845759de52a8b76a,"174,574.219625","$174628.37"
0x25c910561cef12733a62be9e960d24398e2bd7ad36773e120dbd8e90aad25c57,0x7224d1965f85572750a7bfb6845759de52a8b76a,0x0000000000000000000000000000000000000000,"373,973.578935 ","na"
0x25c910561cef12733a62be9e960d24398e2bd7ad36773e120dbd8e90aad25c57,0x3d9819210a31b4961b30ef54be2aed79b9c9cd3b,0x5274891bec421b39d23760c04a6755ecb444797c,"0.000000000000000068","$0.00"
0x25c910561cef12733a62be9e960d24398e2bd7ad36773e120dbd8e90aad25c57,0x275da8e61ea8e02d51edd8d0dc5c0e62b4cdb0be,0x5274891bec421b39d23760c04a6755ecb444797c,"2.856131684050550399","$24.39"
0x25c910561cef12733a62be9e960d24398e2bd7ad36773e120dbd8e90aad25c57,0x5274891bec421b39d23760c04a6755ecb444797c,0xa5f125c0d571fd67d564c05a234e9a6f4e5d0624,"21.545863342807954042","$183.97"
0x25c910561cef12733a62be9e960d24398e2bd7ad36773e120dbd8e90aad25c57,0x5274891bec421b39d23760c04a6755ecb444797c,0xe8981aa72d495aa71681c41159c1ec8746ee3fbd,"0.00000004","$0.00"
0x25c910561cef12733a62be9e960d24398e2bd7ad36773e120dbd8e90aad25c57,0x39aa39c021dfbae8fac545936693ac917d5e7563,0xe8981aa72d495aa71681c41159c1ec8746ee3fbd,"0","$0.00"
0x25c910561cef12733a62be9e960d24398e2bd7ad36773e120dbd8e90aad25c57,0xe8981aa72d495aa71681c41159c1ec8746ee3fbd,0x39aa39c021dfbae8fac545936693ac917d5e7563,"0.00000004","$0.00"
0x25c910561cef12733a62be9e960d24398e2bd7ad36773e120dbd8e90aad25c57,0xe8981aa72d495aa71681c41159c1ec8746ee3fbd,0x5274891bec421b39d23760c04a6755ecb444797c,"0","$0.00"
0x25c910561cef12733a62be9e960d24398e2bd7ad36773e120dbd8e90aad25c57,0x0000000000000000000000000000000000000000,0x5274891bec421b39d23760c04a6755ecb444797c,"3,858.359961","$3889.10"
0x25c910561cef12733a62be9e960d24398e2bd7ad36773e120dbd8e90aad25c57,0x0000000000000000000000000000000000000000,0x695085c4eae4c0416e26de99059db71d8183b783,"0","$0.00"
0x25c910561cef12733a62be9e960d24398e2bd7ad36773e120dbd8e90aad25c57,0x5274891bec421b39d23760c04a6755ecb444797c,0x695085c4eae4c0416e26de99059db71d8183b783,"338,449.460532","$341145.88"
0x25c910561cef12733a62be9e960d24398e2bd7ad36773e120dbd8e90aad25c57,0x0000000000000000000000000000000000000000,0x695085c4eae4c0416e26de99059db71d8183b783,"0","$0.00"
0x25c910561cef12733a62be9e960d24398e2bd7ad36773e120dbd8e90aad25c57,0x695085c4eae4c0416e26de99059db71d8183b783,0x0000000000000000000000000000000000000000,"338,449.460532","$341145.88"
0x25c910561cef12733a62be9e960d24398e2bd7ad36773e120dbd8e90aad25c57,0x3dfd23a6c5e8bbcfc9581d2e864a68feb6a076d3,0x695085c4eae4c0416e26de99059db71d8183b783,"338,449.460532","$338554.44"
0x25c910561cef12733a62be9e960d24398e2bd7ad36773e120dbd8e90aad25c57,0x695085c4eae4c0416e26de99059db71d8183b783,0x5274891bec421b39d23760c04a6755ecb444797c,"338,449.460532","$338554.44"
0x25c910561cef12733a62be9e960d24398e2bd7ad36773e120dbd8e90aad25c57,0x5274891bec421b39d23760c04a6755ecb444797c,0xbecc659bfc6edca552fa1a67451cc6b38a0108e4,"539.564505","$539.73"
0x25c910561cef12733a62be9e960d24398e2bd7ad36773e120dbd8e90aad25c57,0xa5f125c0d571fd67d564c05a234e9a6f4e5d0624,0x0000000000000000000000000000000000000000,"322,339.748942764090502911","$339223.26"
0x25c910561cef12733a62be9e960d24398e2bd7ad36773e120dbd8e90aad25c57,0x5274891bec421b39d23760c04a6755ecb444797c,0xa5f125c0d571fd67d564c05a234e9a6f4e5d0624,"338,672.867262","$338777.91"
0x25c910561cef12733a62be9e960d24398e2bd7ad36773e120dbd8e90aad25c57,0xa5f125c0d571fd67d564c05a234e9a6f4e5d0624,0xf0358e8c3cd5fa238a29301d0bea3d63a17bedbe,"338,672.867262","$338777.91"
0x25c910561cef12733a62be9e960d24398e2bd7ad36773e120dbd8e90aad25c57,0xf0358e8c3cd5fa238a29301d0bea3d63a17bedbe,0x7224d1965f85572750a7bfb6845759de52a8b76a,"338,584.812398","$338689.83"
0x6e8b043d97b8fc6b57f89be7a00bf3338724c4a7ee8683eac3b727dde2a395ca,0x7224d1965f85572750a7bfb6845759de52a8b76a,0x0000000000000000000000000000000000000000,"0.00231629774082188 ","na"
0x6e8b043d97b8fc6b57f89be7a00bf3338724c4a7ee8683eac3b727dde2a395ca,0x0000000000000000000000000000000000000000,0xe94b5eec1fa96ceecbd33ef5baa8d00e4493f4f3,"37.184422741824370871","$443.15"
0x6e8b043d97b8fc6b57f89be7a00bf3338724c4a7ee8683eac3b727dde2a395ca,0x0000000000000000000000000000000000000000,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,"371.844227418243708716","$4431.54"
0x6e8b043d97b8fc6b57f89be7a00bf3338724c4a7ee8683eac3b727dde2a395ca,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,0xd5d2adcb5e6ad20425b0650e4050c0ea9ec3cec0,"303.528194876360785502","$3617.37"
0x6e8b043d97b8fc6b57f89be7a00bf3338724c4a7ee8683eac3b727dde2a395ca,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,0xd5d2adcb5e6ad20425b0650e4050c0ea9ec3cec0,"0.002375683516923085 ","na"
0x6e8b043d97b8fc6b57f89be7a00bf3338724c4a7ee8683eac3b727dde2a395ca,0xd5d2adcb5e6ad20425b0650e4050c0ea9ec3cec0,0x01bd09a1124960d9be04b638b142df9df942b04a,"0.002375683516923085 ","na"
0x6e8b043d97b8fc6b57f89be7a00bf3338724c4a7ee8683eac3b727dde2a395ca,0x01bd09a1124960d9be04b638b142df9df942b04a,0x7224d1965f85572750a7bfb6845759de52a8b76a,"0.00249603661784669 ","na"
0xb12ba2791068316def55c18bf41a202deb01e79e13ebbc428dd459151e910617,0x4f7c28ccb0f1dbd1388209c67eec234273c878bd,0x7224d1965f85572750a7bfb6845759de52a8b76a,"373,973.578935 ","na"
0xb12ba2791068316def55c18bf41a202deb01e79e13ebbc428dd459151e910617,0x4f7c28ccb0f1dbd1388209c67eec234273c878bd,0x7224d1965f85572750a7bfb6845759de52a8b76a,"3.969278144161405749","$301.15"
0xf45a7e4e7c5129c7a8916328078f4ad83a1dc741d76fb91d85fa447f8e327545,0x7224d1965f85572750a7bfb6845759de52a8b76a,0x854056fd40c1b52037166285b2e54fee774d33f6,"","na"
0xf45a7e4e7c5129c7a8916328078f4ad83a1dc741d76fb91d85fa447f8e327545,0x854056fd40c1b52037166285b2e54fee774d33f6,0x0000000000000000000000000000000000000000,"","na"
0xf45a7e4e7c5129c7a8916328078f4ad83a1dc741d76fb91d85fa447f8e327545,0x854056fd40c1b52037166285b2e54fee774d33f6,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,"3.002867160221784389","$115723.18"
0xf45a7e4e7c5129c7a8916328078f4ad83a1dc741d76fb91d85fa447f8e327545,0x854056fd40c1b52037166285b2e54fee774d33f6,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,"44.948567954405830566","$117864.96"
0xf45a7e4e7c5129c7a8916328078f4ad83a1dc741d76fb91d85fa447f8e327545,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7224d1965f85572750a7bfb6845759de52a8b76a,"3.002867160221784389","$115723.18"
0x4fba20053cc1640fc50aadf2da70b00446b57b89abb0c3f6547043fdb7d9b611,0x81c51dd453dbff8f16036b3f0fb54d7bd03f036f,0x7224d1965f85572750a7bfb6845759de52a8b76a,"","na"
0x4fba20053cc1640fc50aadf2da70b00446b57b89abb0c3f6547043fdb7d9b611,0x81c51dd453dbff8f16036b3f0fb54d7bd03f036f,0x7224d1965f85572750a7bfb6845759de52a8b76a,"9,153.065216420274515616","$2535.80"
